"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-1.6484,0.0068577,-0.1031,0.99465,-1.1844,0.3,0.097709,0,0,0,0,83.304,-7524.7,-6635.1,-2.8184e+05,-29811,-27.611,0.52649,1.1351,86.257
-1.6229,0.0094546,-0.10258,0.99468,-1.1829,0.3,0.097695,0,0,0,0,82.481,-7408.5,-6294.8,-2.7992e+05,-29580,-27.289,0.513,0.96407,85.738
-1.6149,0.0095426,-0.10249,0.99469,-1.1814,0.3,0.09768,0,0,0,0,81.875,-7372,-6385.8,-2.7972e+05,-29603,-27.258,0.53618,0.83798,85.688
-1.6117,0.0095423,-0.10249,0.99469,-1.1799,0.3,0.097666,0,0,0,0,81.62,-7357.2,-7085.3,-2.806e+05,-29801,-27.408,0.61762,0.72921,85.934
-1.6119,0.0095425,-0.10249,0.99469,-1.1784,0.3,0.097652,0,0,0,0,81.925,-7358.3,-8434.8,-2.8314e+05,-30273,-27.842,0.76437,0.63282,86.629
-1.6184,0.0077944,-0.10088,0.99487,-1.177,0.3,0.097637,0,0,0,0,82.886,-7387.9,-10775,-2.8813e+05,-30482,-28.681,1.0093,0.52897,87.95
-1.6416,-0.0088881,-0.094272,0.99549,-1.1755,0.3,0.097624,0,0,0,0,83.871,-7494,-13025,-2.9241e+05,-28695,-29.389,1.245,0.54951,89.048
-1.6465,-0.028909,-0.085969,0.99587,-1.174,0.3,0.097664,0,0,0,0,84.206,-7516.1,-12560,-2.9105e+05,-25730,-29.103,1.1942,0.49002,88.602
-1.6078,-0.033826,-0.082555,0.99601,-1.1725,0.3,0.097715,0,0,0,0,83.885,-7339.3,-10266,-2.8525e+05,-24255,-28.088,0.96747,0.2215,87.014
-1.5644,-0.032179,-0.08209,0.99611,-1.171,0.3,0.097765,0,0,0,0,83.18,-7141.3,-8812.8,-2.8016e+05,-23900,-27.239,0.84105,0.0063575,85.667
-1.539,-0.030313,-0.081514,0.99621,-1.1695,0.3,0.097811,0,0,0,0,82.442,-7025.3,-8229.5,-2.7782e+05,-23628,-26.841,0.79391,-0.13501,85.032
-1.5265,-0.029947,-0.08129,0.99624,-1.168,0.3,0.097856,0,0,0,0,81.855,-6968.2,-7997,-2.77e+05,-23572,-26.704,0.78144,-0.241,84.814
-1.5178,-0.029947,-0.08129,0.99624,-1.1665,0.3,0.097901,0,0,0,0,81.566,-6928.4,-8247.8,-2.7723e+05,-23669,-26.742,0.81482,-0.33328,84.882
-1.5134,-0.029946,-0.08129,0.99624,-1.165,0.3,0.097947,0,0,0,0,81.46,-6908.4,-8724.9,-2.7798e+05,-23740,-26.864,0.86962,-0.42,85.092
-1.5121,-0.029947,-0.08129,0.99624,-1.1635,0.3,0.097992,0,0,0,0,81.997,-6902.4,-9559.5,-2.8036e+05,-24059,-27.253,0.96403,-0.5113,85.73
-1.5139,-0.031782,-0.079887,0.9963,-1.1621,0.3,0.098035,0,0,0,0,82.801,-6910.8,-11346,-2.8397e+05,-24177,-27.842,1.1514,-0.62683,86.687
-1.5262,-0.038247,-0.076507,0.9963,-1.1608,0.3,0.098076,0,0,0,0,83.316,-6966.9,-13066,-2.8621e+05,-22897,-28.206,1.3248,-0.67912,87.283
-1.5296,-0.048999,-0.076148,0.99589,-1.1605,0.3,0.098085,0,0,0,0,83.359,-6982.5,-13564,-2.8657e+05,-22398,-28.262,1.3756,-0.67859,87.372
