"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-0.50736,0.38068,0.47958,0.79049,-0.044158,0.3,0.4239,0,0,0,0,6.8136,-2316,-60849,-2.4563e+06,1.53e+06,-64.015,16.669,24.106,13.409
-0.6323,0.33543,0.48675,0.80651,-0.043428,0.3,0.42358,0,0,0,0,5.6391,-2886.4,-1.0475e+05,-2.3191e+06,1.4336e+06,-63.002,15.303,20.096,13.698
-0.64202,0.33114,0.48519,0.80908,-0.043372,0.3,0.42355,0,0,0,0,5.5714,-2930.8,-1.0691e+05,-2.3111e+06,1.4278e+06,-62.978,15.201,19.834,13.722
-0.74552,0.26586,0.48594,0.83194,-0.042549,0.3,0.42325,0,0,0,0,6.6686,-3403.2,-1.0276e+05,-2.167e+06,1.3314e+06,-61.373,13.969,18.042,14.861
-0.76672,0.25893,0.48786,0.83336,-0.042226,0.3,0.42313,0,0,0,0,7.12,-3500,-1.0988e+05,-2.1208e+06,1.3021e+06,-61.721,13.602,16.936,15.529
-0.87161,0.22511,0.50459,0.83348,-0.041295,0.3,0.42287,0,0,0,0,8.2022,-3978.8,-1.2584e+05,-1.9287e+06,1.1881e+06,-59.932,12.676,14.243,17.189
-0.87613,0.22361,0.50483,0.83373,-0.041225,0.3,0.42285,0,0,0,0,8.2634,-3999.4,-1.2624e+05,-1.9157e+06,1.1791e+06,-59.79,12.599,14.084,17.307
-0.94935,0.19376,0.50749,0.83941,-0.039391,0.3,0.42241,0,0,0,0,9.3695,-4333.7,-95310,-1.5922e+06,9.4266e+05,-55.282,10.165,11.503,20.26
-0.96663,0.1802,0.50758,0.84236,-0.039071,0.3,0.42234,0,0,0,0,9.172,-4412.6,-96211,-1.5462e+06,9.1147e+05,-54.563,9.8567,10.891,20.583
-1.0211,0.083031,0.50824,0.85682,-0.036159,0.3,0.42189,0,0,0,0,9.8735,-4661.2,-82427,-1.2933e+06,7.3789e+05,-50.795,7.2987,7.1056,23.82
-1.0338,0.066863,0.5035,0.86116,-0.035702,0.3,0.42183,0,0,0,0,9.924,-4719,-82186,-1.2523e+06,7.1213e+05,-50.128,6.9566,6.4076,24.39
-1.0441,0.05867,0.50528,0.86073,-0.035064,0.3,0.42178,0,0,0,0,10.417,-4766.1,-83443,-1.2194e+06,6.9578e+05,-50.096,6.6551,5.5936,25.34
-1.0441,0.048461,0.50558,0.8608,-0.034508,0.3,0.42177,0,0,0,0,11.033,-4766,-78702,-1.1889e+06,6.7282e+05,-49.948,6.0817,4.8107,26.198
-1.0431,0.029548,0.50185,0.86373,-0.033745,0.3,0.42174,0,0,0,0,12.125,-4761.4,-71566,-1.1408e+06,6.4662e+05,-50.576,5.0878,3.1417,28.01
-1.0483,0.032069,0.49577,0.86711,-0.031906,0.3,0.42178,0,0,0,0,36.831,-4785.4,-68770,-1.0365e+06,5.8222e+05,-47.713,4.452,1.8556,30.104
-1.0566,0.016234,0.48805,0.8725,-0.030393,0.3,0.42171,0,0,0,0,43.543,-4823.2,-73675,-9.6784e+05,5.4114e+05,-46.943,3.9432,0.35399,31.821
-1.0649,0.011789,0.48733,0.87311,-0.029625,0.3,0.42169,0,0,0,0,49.588,-4861.4,-73706,-9.1734e+05,5.0928e+05,-45.879,3.5808,-0.36863,32.778
-1.0035,-0.14622,0.47772,0.86625,-0.024224,0.3,0.42218,0,0,0,0,89.195,-4580.9,-66767,-6.8921e+05,3.6658e+05,-38.031,1.9763,-3.2989,36.639
